RELATION_ID	GENERATED_TAIL_ID	DISTANCE_SCORE
dblp:publishedIn	venue_1979	0.1288
dblp:wrote	pub_182291	0.0861
dblp:publishedIn	venue_3033	0.1371
dblp:wrote	pub_111	0.0926
dblp:publishedIn	venue_1089	0.1551
dblp:hasAuthor	author_198159	0.1030
dblp:hasAuthor	author_363470	0.0887
dblp:publishedIn	venue_2292	0.0834
dblp:inYear	year_55	0.2073
dblp:hasAuthor	author_571744	0.0713
dblp:inYear	year_48	0.2255
dblp:wrote	pub_160680	0.0854
dblp:wrote	pub_403640	0.0862
dblp:inYear	year_23	0.1413
dblp:wrote	pub_73956	0.0763
dblp:publishedIn	venue_2757	0.0890
dblp:inYear	year_19	0.1244
dblp:wrote	pub_402215	0.0802
dblp:publishedIn	venue_1496	0.1423
dblp:hasAuthor	author_500143	0.0733
dblp:inYear	year_42	0.1178
dblp:wrote	pub_165889	0.1073
dblp:wrote	pub_184028	0.0531
dblp:publishedIn	venue_1208	0.1678
dblp:wrote	pub_250616	0.1033
dblp:inYear	year_50	0.1714
dblp:inYear	year_56	0.1876
dblp:wrote	pub_430254	0.0933
dblp:inYear	year_54	0.1390
dblp:wrote	pub_396657	0.0685
dblp:hasAuthor	author_356161	0.0783
dblp:hasAuthor	author_272377	0.0743
dblp:wrote	pub_365044	0.0861
dblp:hasAuthor	author_308776	0.0770
dblp:inYear	year_23	0.1682
dblp:publishedIn	venue_96	0.1241
dblp:publishedIn	venue_2577	0.1800
dblp:inYear	year_15	0.1759
dblp:publishedIn	venue_240	0.1179
dblp:publishedIn	venue_1561	0.1238
dblp:inYear	year_35	0.1664
dblp:hasAuthor	author_283627	0.0859
dblp:inYear	year_21	0.2200
dblp:hasAuthor	author_534706	0.0871
dblp:inYear	year_52	0.1405
dblp:wrote	pub_261767	0.0777
dblp:hasAuthor	author_203913	0.0894
dblp:wrote	pub_458797	0.0934
dblp:hasAuthor	author_228876	0.0710
dblp:publishedIn	venue_2284	0.1440
dblp:wrote	pub_449196	0.0873
dblp:wrote	pub_195895	0.0869
dblp:inYear	year_47	0.1587
dblp:inYear	year_50	0.1458
dblp:publishedIn	venue_608	0.1455
dblp:hasAuthor	author_279373	0.0767
dblp:wrote	pub_401127	0.0926
dblp:wrote	pub_235855	0.0796
dblp:publishedIn	venue_1995	0.1091
dblp:publishedIn	venue_1193	0.1249
dblp:wrote	pub_252601	0.0853
dblp:hasAuthor	author_327042	0.1114
dblp:inYear	year_7	0.1916
dblp:hasAuthor	author_415349	0.0573
dblp:inYear	year_32	0.1683
dblp:hasAuthor	author_78164	0.1265
dblp:publishedIn	venue_607	0.1469
dblp:inYear	year_15	0.1603
dblp:wrote	pub_326345	0.0747
dblp:hasAuthor	author_347354	0.0701
dblp:publishedIn	venue_2356	0.1378
dblp:inYear	year_2	0.1740
dblp:wrote	pub_312695	0.0657
dblp:publishedIn	venue_1795	0.1075
dblp:inYear	year_54	0.2070
dblp:hasAuthor	author_50181	0.1225
dblp:publishedIn	venue_945	0.1530
dblp:inYear	year_37	0.1347
dblp:publishedIn	venue_2680	0.1071
dblp:inYear	year_24	0.1853
dblp:publishedIn	venue_1140	0.1385
dblp:wrote	pub_267604	0.0828
dblp:inYear	year_22	0.1712
dblp:inYear	year_59	0.1604
dblp:publishedIn	venue_2566	0.1338
dblp:inYear	year_38	0.1571
dblp:hasAuthor	author_250648	0.1208
dblp:publishedIn	venue_2653	0.1262
dblp:inYear	year_8	0.1470
dblp:wrote	pub_380098	0.0756
dblp:publishedIn	venue_1654	0.1177
dblp:inYear	year_38	0.1335
dblp:hasAuthor	author_615210	0.0605
dblp:inYear	year_47	0.1424
dblp:wrote	pub_337016	0.1092
dblp:inYear	year_43	0.1822
dblp:publishedIn	venue_702	0.1323
dblp:publishedIn	venue_871	0.2117
dblp:publishedIn	venue_1789	0.0895
dblp:inYear	year_23	0.1239
dblp:hasAuthor	author_632916	0.0653
dblp:inYear	year_43	0.1699
dblp:hasAuthor	author_536490	0.0877
dblp:hasAuthor	author_315048	0.0833
dblp:publishedIn	venue_2292	0.1002
dblp:hasAuthor	author_355261	0.0896
dblp:wrote	pub_245632	0.0803
dblp:hasAuthor	author_98383	0.1063
dblp:hasAuthor	author_557588	0.0871
dblp:hasAuthor	author_182767	0.0949
dblp:inYear	year_49	0.2010
dblp:hasAuthor	author_127659	0.1300
dblp:inYear	year_4	0.1338
dblp:wrote	pub_229974	0.0860
dblp:hasAuthor	author_512947	0.0684
dblp:publishedIn	venue_1401	0.1354
dblp:publishedIn	venue_1965	0.1065
dblp:hasAuthor	author_213026	0.0706
dblp:inYear	year_31	0.1499
dblp:wrote	pub_473682	0.1019
dblp:hasAuthor	author_344384	0.1042
dblp:inYear	year_49	0.1567
dblp:hasAuthor	author_519065	0.0847
dblp:publishedIn	venue_2062	0.1654
dblp:publishedIn	venue_2700	0.1469
dblp:hasAuthor	author_249167	0.0759
dblp:wrote	pub_10961	0.0526
dblp:publishedIn	venue_2455	0.1215
dblp:inYear	year_47	0.1733
dblp:hasAuthor	author_579295	0.0726
dblp:inYear	year_46	0.1894
dblp:hasAuthor	author_404464	0.0743
dblp:hasAuthor	author_553750	0.0704
dblp:publishedIn	venue_260	0.1185
dblp:inYear	year_41	0.1255
dblp:inYear	year_33	0.1451
dblp:inYear	year_41	0.2104
dblp:wrote	pub_11282	0.0789
dblp:publishedIn	venue_873	0.1607
dblp:inYear	year_17	0.1671
dblp:publishedIn	venue_1667	0.1378
dblp:wrote	pub_153051	0.0752
dblp:hasAuthor	author_81174	0.0720
dblp:inYear	year_59	0.1382
dblp:inYear	year_42	0.1927
dblp:publishedIn	venue_403	0.1419
dblp:hasAuthor	author_359451	0.0717
dblp:inYear	year_42	0.1481
dblp:wrote	pub_443244	0.1088
dblp:hasAuthor	author_195695	0.0583
dblp:hasAuthor	author_250979	0.0561
dblp:hasAuthor	author_46169	0.0821
dblp:hasAuthor	author_112558	0.0821
dblp:publishedIn	venue_1911	0.1324
dblp:wrote	pub_282729	0.0636
dblp:publishedIn	venue_456	0.1357
dblp:hasAuthor	author_255851	0.1145
dblp:publishedIn	venue_477	0.1543
dblp:inYear	year_43	0.1356
dblp:publishedIn	venue_625	0.1125
dblp:hasAuthor	author_481433	0.1060
dblp:wrote	pub_225357	0.0623
dblp:hasAuthor	author_155382	0.0809
dblp:wrote	pub_101818	0.0771
dblp:publishedIn	venue_639	0.1488
dblp:inYear	year_3	0.1354
dblp:publishedIn	venue_2362	0.1283
dblp:wrote	pub_86796	0.0573
dblp:publishedIn	venue_2486	0.0986
dblp:publishedIn	venue_218	0.1092
dblp:wrote	pub_27310	0.1079
dblp:publishedIn	venue_1430	0.1322
dblp:publishedIn	venue_1498	0.1621
dblp:inYear	year_45	0.1931
dblp:wrote	pub_447459	0.0861
dblp:publishedIn	venue_52	0.1758
dblp:publishedIn	venue_2740	0.1030
dblp:inYear	year_54	0.2732
dblp:inYear	year_54	0.2064
dblp:wrote	pub_439295	0.0769
dblp:publishedIn	venue_411	0.1528
dblp:publishedIn	venue_2639	0.1332
dblp:inYear	year_1	0.2017
dblp:hasAuthor	author_118541	0.0757
dblp:publishedIn	venue_2757	0.1257
dblp:wrote	pub_265851	0.0726
dblp:wrote	pub_138339	0.0830
dblp:publishedIn	venue_3010	0.1360
dblp:hasAuthor	author_175722	0.0742
dblp:wrote	pub_401135	0.1163
dblp:inYear	year_60	0.2385
dblp:inYear	year_15	0.1424
dblp:hasAuthor	author_221460	0.0818
dblp:wrote	pub_355875	0.0687
dblp:publishedIn	venue_1668	0.0996
dblp:hasAuthor	author_228011	0.0702
dblp:publishedIn	venue_147	0.1511
dblp:hasAuthor	author_257991	0.0736
dblp:inYear	year_3	0.1601
dblp:hasAuthor	author_626810	0.1060
dblp:inYear	year_47	0.1490
dblp:publishedIn	venue_1767	0.1305
dblp:hasAuthor	author_191168	0.0812
dblp:inYear	year_29	0.1519
dblp:inYear	year_55	0.1897
dblp:hasAuthor	author_348464	0.1419
dblp:hasAuthor	author_119562	0.0852
dblp:hasAuthor	author_155607	0.0818
dblp:publishedIn	venue_2559	0.0926
dblp:inYear	year_3	0.1488
dblp:wrote	pub_124249	0.0775
dblp:inYear	year_19	0.1629
dblp:wrote	pub_226120	0.0839
dblp:hasAuthor	author_363821	0.0650
dblp:inYear	year_25	0.1118
dblp:inYear	year_15	0.1674
dblp:inYear	year_35	0.1870
dblp:hasAuthor	author_475352	0.1480
dblp:hasAuthor	author_603764	0.0757
dblp:wrote	pub_155118	0.1136
dblp:publishedIn	venue_1140	0.1470
dblp:inYear	year_55	0.1599
dblp:inYear	year_3	0.1393
dblp:publishedIn	venue_2290	0.1151
dblp:hasAuthor	author_634449	0.0663
dblp:inYear	year_51	0.1965
dblp:wrote	pub_439446	0.1246
dblp:publishedIn	venue_218	0.1413
dblp:wrote	pub_300776	0.0821
dblp:wrote	pub_368773	0.1261
dblp:hasAuthor	author_1592	0.0751
dblp:publishedIn	venue_1789	0.1469
dblp:inYear	year_55	0.1380
dblp:wrote	pub_482806	0.0839
dblp:wrote	pub_282315	0.0696
dblp:wrote	pub_303432	0.0865
dblp:inYear	year_24	0.1767
dblp:inYear	year_61	0.2073
dblp:hasAuthor	author_183737	0.1533
dblp:inYear	year_13	0.1358
dblp:inYear	year_56	0.1823
dblp:publishedIn	venue_797	0.1122
dblp:publishedIn	venue_1475	0.1487
dblp:hasAuthor	author_289700	0.0964
dblp:inYear	year_38	0.1405
dblp:hasAuthor	author_463426	0.0907
dblp:wrote	pub_88879	0.0653
dblp:publishedIn	venue_2144	0.1075
dblp:wrote	pub_57628	0.0819
dblp:hasAuthor	author_134238	0.0816
dblp:inYear	year_49	0.1534
dblp:inYear	year_39	0.1300
dblp:wrote	pub_181946	0.0703
dblp:publishedIn	venue_2651	0.1044
dblp:inYear	year_46	0.1185
dblp:hasAuthor	author_129300	0.1106
dblp:publishedIn	venue_2975	0.1028
dblp:publishedIn	venue_1361	0.1363
dblp:inYear	year_33	0.1634
dblp:hasAuthor	author_309536	0.1043
dblp:inYear	year_49	0.1618
dblp:inYear	year_47	0.1652
dblp:hasAuthor	author_506992	0.0971
dblp:publishedIn	venue_971	0.1172
dblp:publishedIn	venue_482	0.1618
dblp:publishedIn	venue_1539	0.1219
dblp:wrote	pub_190304	0.0653
dblp:inYear	year_49	0.1390
dblp:hasAuthor	author_500297	0.0672
dblp:hasAuthor	author_127107	0.0898
dblp:wrote	pub_419972	0.0850
dblp:hasAuthor	author_639915	0.1141
dblp:publishedIn	venue_96	0.1697
dblp:inYear	year_19	0.1544
dblp:wrote	pub_361761	0.0581
dblp:hasAuthor	author_635160	0.0679
dblp:wrote	pub_398466	0.1115
dblp:wrote	pub_424913	0.0691
dblp:hasAuthor	author_592170	0.0981
dblp:inYear	year_42	0.1659
dblp:hasAuthor	author_515976	0.0691
dblp:hasAuthor	author_374260	0.0763
dblp:inYear	year_33	0.1248
dblp:hasAuthor	author_60500	0.0659
dblp:hasAuthor	author_397830	0.0859
dblp:hasAuthor	author_641424	0.0812
dblp:publishedIn	venue_1019	0.1333
dblp:hasAuthor	author_454262	0.0571
dblp:inYear	year_28	0.1427
dblp:inYear	year_45	0.1523
dblp:publishedIn	venue_2799	0.1012
dblp:publishedIn	venue_2129	0.1334
dblp:hasAuthor	author_218996	0.0653
dblp:hasAuthor	author_32085	0.0905
dblp:hasAuthor	author_190813	0.0739
dblp:hasAuthor	author_613228	0.0869
dblp:wrote	pub_459195	0.0922
dblp:publishedIn	venue_580	0.1026
dblp:publishedIn	venue_2722	0.0933
dblp:hasAuthor	author_235460	0.0679
dblp:wrote	pub_124078	0.0798
dblp:inYear	year_48	0.1343
dblp:publishedIn	venue_612	0.1107
dblp:inYear	year_32	0.1549
dblp:hasAuthor	author_273419	0.0665
dblp:publishedIn	venue_1754	0.1288
dblp:hasAuthor	author_27918	0.0891
dblp:inYear	year_23	0.1983
dblp:inYear	year_52	0.1740
dblp:inYear	year_4	0.1938
dblp:inYear	year_18	0.1719
dblp:hasAuthor	author_318708	0.0744
dblp:wrote	pub_111333	0.0650
dblp:hasAuthor	author_534315	0.0928
dblp:hasAuthor	author_625913	0.0576
dblp:publishedIn	venue_1911	0.1334
dblp:wrote	pub_303740	0.0789
dblp:wrote	pub_87610	0.0885
dblp:publishedIn	venue_612	0.1023
dblp:wrote	pub_116048	0.0899
dblp:inYear	year_26	0.1497
dblp:publishedIn	venue_572	0.0941
dblp:wrote	pub_140987	0.0623
dblp:inYear	year_47	0.1352
dblp:inYear	year_25	0.1578
dblp:publishedIn	venue_2724	0.1111
dblp:hasAuthor	author_148250	0.0778
dblp:publishedIn	venue_2082	0.0968
dblp:hasAuthor	author_431368	0.1005
dblp:wrote	pub_182029	0.0920
dblp:inYear	year_53	0.1625
dblp:inYear	year_24	0.1351
dblp:publishedIn	venue_1714	0.1413
dblp:hasAuthor	author_109768	0.0626
dblp:hasAuthor	author_293028	0.1179
dblp:inYear	year_41	0.1355
dblp:wrote	pub_320924	0.0803
dblp:wrote	pub_395909	0.0953
dblp:wrote	pub_366929	0.0929
dblp:publishedIn	venue_934	0.1565
dblp:publishedIn	venue_17	0.1111
dblp:publishedIn	venue_482	0.1224
dblp:wrote	pub_6096	0.1021
dblp:hasAuthor	author_124744	0.0906
dblp:hasAuthor	author_447927	0.0866
dblp:wrote	pub_481387	0.1004
dblp:inYear	year_49	0.1781
dblp:wrote	pub_375857	0.0684
dblp:wrote	pub_123040	0.0753
dblp:inYear	year_18	0.1737
dblp:inYear	year_49	0.1284
dblp:inYear	year_3	0.1712
dblp:publishedIn	venue_1403	0.1518
dblp:wrote	pub_226853	0.0659
dblp:hasAuthor	author_545207	0.0659
dblp:publishedIn	venue_769	0.1882
dblp:wrote	pub_98918	0.0639
dblp:wrote	pub_454227	0.0912
dblp:publishedIn	venue_1539	0.1370
dblp:publishedIn	venue_2362	0.1427
dblp:publishedIn	venue_1539	0.1352
dblp:wrote	pub_30483	0.0839
dblp:inYear	year_51	0.1939
dblp:wrote	pub_57628	0.0709
dblp:hasAuthor	author_428544	0.0773
dblp:publishedIn	venue_2292	0.1172
dblp:hasAuthor	author_380594	0.0918
dblp:hasAuthor	author_107092	0.0626
dblp:inYear	year_45	0.1868
dblp:publishedIn	venue_2653	0.1293
dblp:inYear	year_46	0.2039
dblp:inYear	year_14	0.1661
dblp:publishedIn	venue_254	0.1242
dblp:wrote	pub_66218	0.1198
dblp:hasAuthor	author_228141	0.0934
dblp:wrote	pub_160397	0.0683
dblp:hasAuthor	author_332841	0.1106
dblp:hasAuthor	author_350834	0.0833
dblp:inYear	year_5	0.1724
dblp:inYear	year_2	0.1635
dblp:wrote	pub_358848	0.0837
dblp:hasAuthor	author_610011	0.0679
dblp:wrote	pub_79205	0.0884
dblp:publishedIn	venue_2774	0.1089
dblp:wrote	pub_366662	0.0802
dblp:inYear	year_42	0.1715
dblp:publishedIn	venue_395	0.1214
dblp:inYear	year_56	0.2032
dblp:hasAuthor	author_329240	0.1016
dblp:publishedIn	venue_1157	0.1155
dblp:wrote	pub_135759	0.0770
dblp:hasAuthor	author_282458	0.0646
dblp:hasAuthor	author_531083	0.0621
dblp:inYear	year_52	0.1397
dblp:wrote	pub_248155	0.0939
dblp:inYear	year_25	0.1408
dblp:wrote	pub_476761	0.0850
dblp:inYear	year_17	0.1699
dblp:publishedIn	venue_1840	0.1232
dblp:wrote	pub_384368	0.0770
dblp:publishedIn	venue_404	0.0865
dblp:hasAuthor	author_197266	0.0685
dblp:publishedIn	venue_511	0.1201
dblp:inYear	year_28	0.1543
dblp:publishedIn	venue_1424	0.1838
dblp:wrote	pub_177344	0.0718
dblp:inYear	year_42	0.1473
dblp:hasAuthor	author_79370	0.0797
dblp:wrote	pub_321673	0.0847
dblp:wrote	pub_265199	0.0813
dblp:hasAuthor	author_35038	0.0911
dblp:hasAuthor	author_195264	0.0701
dblp:publishedIn	venue_1678	0.2035
dblp:hasAuthor	author_258316	0.0715
dblp:wrote	pub_480547	0.0701
dblp:publishedIn	venue_623	0.1173
dblp:inYear	year_56	0.1835
dblp:hasAuthor	author_458528	0.0873
dblp:inYear	year_31	0.1748
dblp:hasAuthor	author_135912	0.0812
dblp:publishedIn	venue_1668	0.1596
dblp:inYear	year_32	0.1596
dblp:hasAuthor	author_601099	0.0569
dblp:publishedIn	venue_780	0.1633
dblp:inYear	year_51	0.1928
dblp:inYear	year_47	0.1454
dblp:publishedIn	venue_2144	0.1390
dblp:inYear	year_61	0.1896
dblp:wrote	pub_457537	0.0910
dblp:inYear	year_52	0.1555
dblp:wrote	pub_80600	0.0822
dblp:inYear	year_49	0.1551
dblp:wrote	pub_56973	0.0861
dblp:wrote	pub_131589	0.0732
dblp:hasAuthor	author_24884	0.0799
dblp:publishedIn	venue_1598	0.0951
dblp:wrote	pub_431501	0.0903
dblp:hasAuthor	author_129685	0.0817
dblp:wrote	pub_467145	0.0731
dblp:inYear	year_39	0.1761
dblp:publishedIn	venue_2639	0.1618
dblp:inYear	year_47	0.1514
dblp:inYear	year_4	0.2028
dblp:inYear	year_59	0.1396
dblp:wrote	pub_52288	0.0881
dblp:inYear	year_59	0.1319
dblp:inYear	year_61	0.1408
dblp:publishedIn	venue_2559	0.1209
dblp:inYear	year_30	0.1620
dblp:publishedIn	venue_766	0.1418
dblp:inYear	year_35	0.1417
dblp:wrote	pub_393650	0.0829
dblp:hasAuthor	author_422116	0.1090
dblp:hasAuthor	author_261	0.0908
dblp:publishedIn	venue_132	0.1245
dblp:wrote	pub_127300	0.0896
dblp:wrote	pub_76102	0.0782
dblp:publishedIn	venue_1894	0.1417
dblp:wrote	pub_48680	0.0876
dblp:hasAuthor	author_640491	0.0799
dblp:publishedIn	venue_871	0.0989
dblp:hasAuthor	author_182170	0.0616
dblp:wrote	pub_411895	0.0476
dblp:inYear	year_1	0.1466
dblp:publishedIn	venue_1019	0.1520
dblp:inYear	year_42	0.2094
dblp:hasAuthor	author_278981	0.0893
dblp:hasAuthor	author_165909	0.0674
dblp:wrote	pub_117005	0.0641
dblp:wrote	pub_463595	0.1153
dblp:hasAuthor	author_334402	0.0646
dblp:inYear	year_37	0.1793
dblp:publishedIn	venue_132	0.1437
dblp:publishedIn	venue_1667	0.1641
dblp:hasAuthor	author_507386	0.0704
dblp:publishedIn	venue_2726	0.1713
dblp:wrote	pub_77016	0.0697
dblp:inYear	year_54	0.1268
dblp:wrote	pub_329308	0.0527
dblp:hasAuthor	author_11282	0.0819
dblp:wrote	pub_359211	0.0570
dblp:publishedIn	venue_1795	0.1163
dblp:publishedIn	venue_1286	0.1112
dblp:publishedIn	venue_482	0.1135
dblp:publishedIn	venue_2325	0.1173
dblp:inYear	year_42	0.1468
dblp:wrote	pub_56301	0.0811
dblp:inYear	year_7	0.1833
dblp:publishedIn	venue_1702	0.1206
dblp:wrote	pub_359923	0.0757
dblp:inYear	year_50	0.1427
dblp:publishedIn	venue_608	0.1452
dblp:hasAuthor	author_364820	0.0800
dblp:inYear	year_51	0.1595
dblp:wrote	pub_151435	0.0898
dblp:wrote	pub_16799	0.1183
dblp:inYear	year_44	0.1673
dblp:inYear	year_41	0.1473
dblp:publishedIn	venue_1965	0.1135
dblp:inYear	year_50	0.1583
dblp:inYear	year_50	0.1733
dblp:wrote	pub_356508	0.0690
dblp:wrote	pub_72249	0.0663
dblp:publishedIn	venue_892	0.1243
dblp:hasAuthor	author_619522	0.0960
dblp:publishedIn	venue_2866	0.1294
dblp:inYear	year_31	0.1554
dblp:publishedIn	venue_1667	0.1385
dblp:publishedIn	venue_1322	0.1415
dblp:hasAuthor	author_263008	0.0644
dblp:hasAuthor	author_258746	0.0884
dblp:publishedIn	venue_1109	0.1257
dblp:hasAuthor	author_573845	0.0637
dblp:inYear	year_29	0.1306
dblp:inYear	year_11	0.1668
dblp:publishedIn	venue_871	0.1071
dblp:hasAuthor	author_404748	0.0648
dblp:inYear	year_41	0.1536
dblp:hasAuthor	author_328762	0.0901
dblp:inYear	year_44	0.1416
dblp:inYear	year_50	0.1317
dblp:hasAuthor	author_217479	0.0617
dblp:publishedIn	venue_1592	0.0817
dblp:publishedIn	venue_1430	0.1643
dblp:publishedIn	venue_2293	0.1158
dblp:inYear	year_42	0.1551
dblp:wrote	pub_14615	0.0726
dblp:publishedIn	venue_1579	0.1405
dblp:wrote	pub_6761	0.0632
dblp:wrote	pub_241263	0.0811
dblp:hasAuthor	author_205275	0.0643
dblp:publishedIn	venue_623	0.1027
dblp:hasAuthor	author_278547	0.1002
dblp:hasAuthor	author_388752	0.0734
dblp:inYear	year_60	0.1976
dblp:hasAuthor	author_262939	0.0810
dblp:hasAuthor	author_198045	0.0841
dblp:inYear	year_48	0.1615
dblp:hasAuthor	author_1988	0.0666
dblp:publishedIn	venue_1256	0.1468
dblp:inYear	year_23	0.1366
dblp:hasAuthor	author_507557	0.0754
dblp:wrote	pub_76362	0.0614
dblp:hasAuthor	author_632503	0.0786
dblp:hasAuthor	author_606	0.0769
dblp:inYear	year_43	0.1333
dblp:publishedIn	venue_2317	0.1983
dblp:inYear	year_60	0.1736
dblp:inYear	year_38	0.1515
dblp:wrote	pub_224121	0.0673
dblp:hasAuthor	author_542022	0.0954
dblp:publishedIn	venue_577	0.1089
dblp:hasAuthor	author_537088	0.0806
dblp:hasAuthor	author_350120	0.0947
dblp:inYear	year_51	0.2217
dblp:wrote	pub_439482	0.1316
dblp:wrote	pub_283221	0.0719
dblp:hasAuthor	author_641845	0.1063
dblp:publishedIn	venue_1539	0.1028
dblp:hasAuthor	author_599328	0.1197
dblp:inYear	year_17	0.1428
dblp:publishedIn	venue_934	0.1142
dblp:inYear	year_59	0.2112
dblp:hasAuthor	author_442720	0.0656
dblp:wrote	pub_115090	0.0641
dblp:publishedIn	venue_856	0.1243
dblp:hasAuthor	author_319749	0.0762
dblp:publishedIn	venue_1452	0.1061
dblp:hasAuthor	author_490576	0.0889
dblp:inYear	year_54	0.2173
dblp:inYear	year_48	0.1715
dblp:hasAuthor	author_376341	0.0649
dblp:publishedIn	venue_2130	0.1165
dblp:publishedIn	venue_1840	0.1349
dblp:wrote	pub_439394	0.0877
dblp:wrote	pub_306178	0.0783
dblp:hasAuthor	author_144845	0.0827
dblp:hasAuthor	author_196838	0.0729
dblp:publishedIn	venue_1795	0.1851
dblp:hasAuthor	author_425811	0.0859
dblp:publishedIn	venue_2575	0.1082
dblp:wrote	pub_159014	0.1034
dblp:inYear	year_32	0.1311
dblp:wrote	pub_328260	0.0813
dblp:inYear	year_13	0.1566
dblp:inYear	year_3	0.1811
dblp:wrote	pub_182734	0.0759
dblp:hasAuthor	author_135495	0.0872
dblp:publishedIn	venue_2722	0.0985
dblp:hasAuthor	author_289009	0.0834
dblp:publishedIn	venue_1783	0.1711
dblp:inYear	year_53	0.1795
dblp:inYear	year_48	0.1556
dblp:hasAuthor	author_176127	0.0992
dblp:wrote	pub_252412	0.0703
