HEAD_ID	RELATION_ID	GENERATED_TAIL_ID	DISTANCE_SCORE
pub_350033	dblp:publishedIn	venue_1271	0.2989
pub_73064	dblp:publishedIn	venue_697	0.2074
pub_189840	dblp:inYear	year_29	0.3493
pub_289088	dblp:inYear	year_6	0.2980
pub_90408	dblp:hasAuthor	author_575912	0.1589
pub_140278	dblp:inYear	year_59	0.3174
pub_351207	dblp:inYear	year_5	0.4114
pub_56228	dblp:inYear	year_27	0.2984
pub_174973	dblp:publishedIn	venue_216	0.2416
author_406923	dblp:wrote	pub_474090	0.2067
pub_214640	dblp:inYear	year_19	0.2498
pub_93251	dblp:hasAuthor	author_606456	0.1110
pub_473802	dblp:publishedIn	venue_215	0.2594
author_219527	dblp:wrote	pub_7514	0.1823
author_176809	dblp:wrote	pub_268147	0.1535
pub_382982	dblp:hasAuthor	author_365096	0.1425
pub_181013	dblp:publishedIn	venue_1087	0.1924
author_322201	dblp:wrote	pub_234998	0.1454
pub_270659	dblp:publishedIn	venue_252	0.2058
pub_384863	dblp:inYear	year_10	0.3257
pub_346709	dblp:hasAuthor	author_261108	0.1462
pub_275180	dblp:publishedIn	venue_1418	0.2353
author_228217	dblp:wrote	pub_106249	0.1334
pub_273844	dblp:publishedIn	venue_2316	0.2385
author_7651	dblp:wrote	pub_434344	0.1462
pub_22777	dblp:inYear	year_14	0.3331
pub_157022	dblp:publishedIn	venue_1147	0.1865
pub_395889	dblp:publishedIn	venue_2449	0.2226
pub_109120	dblp:hasAuthor	author_632051	0.1917
author_230183	dblp:wrote	pub_256080	0.1571
pub_209696	dblp:publishedIn	venue_2206	0.4210
pub_483749	dblp:inYear	year_23	0.3756
author_394353	dblp:wrote	pub_132671	0.1578
author_383260	dblp:wrote	pub_460197	0.1609
pub_476730	dblp:publishedIn	venue_589	0.2255
pub_436306	dblp:inYear	year_9	0.3271
pub_340353	dblp:publishedIn	venue_811	0.2323
author_267656	dblp:wrote	pub_277693	0.1661
pub_82891	dblp:publishedIn	venue_1014	0.2534
pub_109468	dblp:publishedIn	venue_550	0.2956
pub_86393	dblp:inYear	year_56	0.3299
pub_244841	dblp:publishedIn	venue_668	0.2769
pub_285912	dblp:publishedIn	venue_968	0.2835
pub_130622	dblp:inYear	year_50	0.3119
pub_397109	dblp:hasAuthor	author_249712	0.1454
pub_384141	dblp:hasAuthor	author_638075	0.1688
pub_181674	dblp:publishedIn	venue_1622	0.2515
pub_149349	dblp:inYear	year_17	0.2596
author_407444	dblp:wrote	pub_236289	0.1442
pub_287062	dblp:hasAuthor	author_368054	0.1469
pub_96279	dblp:hasAuthor	author_267840	0.1832
pub_390294	dblp:hasAuthor	author_546713	0.1465
pub_373321	dblp:publishedIn	venue_1835	0.2200
author_226310	dblp:wrote	pub_476685	0.2275
pub_351518	dblp:inYear	year_47	0.2657
author_325143	dblp:wrote	pub_278533	0.1378
pub_203027	dblp:publishedIn	venue_232	0.2266
pub_315383	dblp:hasAuthor	author_64178	0.1987
pub_259174	dblp:publishedIn	venue_1823	0.2011
pub_292192	dblp:inYear	year_2	0.3613
pub_392548	dblp:hasAuthor	author_181882	0.1779
pub_370556	dblp:hasAuthor	author_209827	0.1658
author_209426	dblp:wrote	pub_230353	0.1615
author_192668	dblp:wrote	pub_10903	0.1377
author_410709	dblp:wrote	pub_90388	0.1144
pub_446649	dblp:publishedIn	venue_2561	0.2915
author_271873	dblp:wrote	pub_290325	0.1665
pub_364350	dblp:inYear	year_46	0.3403
author_634231	dblp:wrote	pub_125561	0.1224
pub_312584	dblp:inYear	year_11	0.3274
pub_150976	dblp:hasAuthor	author_240474	0.1588
pub_336249	dblp:publishedIn	venue_1228	0.2717
pub_244464	dblp:inYear	year_26	0.3266
author_23640	dblp:wrote	pub_21545	0.1708
author_266427	dblp:wrote	pub_423311	0.1795
pub_367499	dblp:inYear	year_37	0.3442
pub_246531	dblp:hasAuthor	author_479487	0.1551
pub_432008	dblp:inYear	year_61	0.3110
pub_408292	dblp:publishedIn	venue_3038	0.2633
pub_94012	dblp:publishedIn	venue_2980	0.2638
author_170749	dblp:wrote	pub_76220	0.1508
pub_330005	dblp:hasAuthor	author_140853	0.1335
pub_24672	dblp:hasAuthor	author_240483	0.1119
pub_162786	dblp:inYear	year_28	0.2478
pub_289231	dblp:inYear	year_6	0.2819
author_409440	dblp:wrote	pub_69952	0.1372
pub_461597	dblp:publishedIn	venue_1138	0.2257
pub_126994	dblp:inYear	year_27	0.4032
pub_49759	dblp:hasAuthor	author_553455	0.1371
pub_260171	dblp:publishedIn	venue_1205	0.3244
author_313728	dblp:wrote	pub_49170	0.1270
pub_467612	dblp:publishedIn	venue_2791	0.3087
pub_408348	dblp:hasAuthor	author_94500	0.1434
author_90783	dblp:wrote	pub_422782	0.1491
author_142865	dblp:wrote	pub_21084	0.1550
author_592518	dblp:wrote	pub_429372	0.1175
pub_37106	dblp:inYear	year_39	0.2451
pub_69040	dblp:hasAuthor	author_468202	0.1926
pub_412186	dblp:publishedIn	venue_759	0.2275
pub_355242	dblp:publishedIn	venue_1783	0.2476
pub_428960	dblp:inYear	year_51	0.2710
author_488532	dblp:wrote	pub_19171	0.1823
author_200436	dblp:wrote	pub_26104	0.1818
author_155744	dblp:wrote	pub_242501	0.1444
pub_108954	dblp:hasAuthor	author_101237	0.1318
pub_317017	dblp:inYear	year_18	0.3460
pub_230428	dblp:hasAuthor	author_114603	0.1414
pub_223253	dblp:publishedIn	venue_1175	0.2470
pub_250313	dblp:hasAuthor	author_555152	0.2008
pub_335305	dblp:hasAuthor	author_176348	0.1719
author_461394	dblp:wrote	pub_67067	0.1812
pub_255555	dblp:inYear	year_2	0.3511
author_393223	dblp:wrote	pub_484855	0.1874
author_84242	dblp:wrote	pub_285355	0.1468
author_382219	dblp:wrote	pub_289812	0.1202
pub_329011	dblp:hasAuthor	author_544601	0.1863
pub_137406	dblp:inYear	year_37	0.3359
pub_262977	dblp:publishedIn	venue_737	0.2044
author_438618	dblp:wrote	pub_210691	0.1278
pub_283032	dblp:hasAuthor	author_607139	0.1387
pub_487371	dblp:hasAuthor	author_346267	0.1973
pub_8492	dblp:hasAuthor	author_108121	0.1802
pub_447749	dblp:publishedIn	venue_567	0.2539
pub_282072	dblp:hasAuthor	author_51842	0.1400
author_249744	dblp:wrote	pub_475072	0.1411
pub_55629	dblp:inYear	year_14	0.3531
author_437642	dblp:wrote	pub_60764	0.1290
pub_380997	dblp:inYear	year_3	0.3438
pub_202489	dblp:publishedIn	venue_1412	0.2342
pub_243510	dblp:hasAuthor	author_600175	0.1701
author_327115	dblp:wrote	pub_191322	0.1547
pub_45917	dblp:hasAuthor	author_224087	0.1977
pub_290608	dblp:publishedIn	venue_247	0.3232
pub_41303	dblp:inYear	year_30	0.3244
author_295897	dblp:wrote	pub_223482	0.1402
pub_318099	dblp:hasAuthor	author_266136	0.1704
pub_445938	dblp:inYear	year_34	0.3841
author_510664	dblp:wrote	pub_143228	0.1299
pub_299866	dblp:hasAuthor	author_148628	0.1758
pub_271338	dblp:inYear	year_12	0.3598
pub_191205	dblp:inYear	year_6	0.3245
pub_446457	dblp:publishedIn	venue_346	0.2295
author_268153	dblp:wrote	pub_128121	0.1346
pub_56779	dblp:publishedIn	venue_2079	0.2544
pub_258322	dblp:publishedIn	venue_2480	0.1775
pub_258144	dblp:publishedIn	venue_1263	0.2590
pub_167515	dblp:hasAuthor	author_464342	0.1775
pub_45766	dblp:publishedIn	venue_596	0.2110
author_409586	dblp:wrote	pub_434005	0.1568
pub_119735	dblp:inYear	year_27	0.3434
pub_491112	dblp:publishedIn	venue_292	0.2975
pub_251309	dblp:publishedIn	venue_2175	0.2174
pub_336208	dblp:inYear	year_33	0.3972
author_302674	dblp:wrote	pub_477922	0.1506
pub_36300	dblp:inYear	year_20	0.3523
pub_367546	dblp:publishedIn	venue_1624	0.2362
pub_196188	dblp:publishedIn	venue_1412	0.2143
author_540005	dblp:wrote	pub_379420	0.1307
pub_457654	dblp:hasAuthor	author_296532	0.1611
pub_175273	dblp:publishedIn	venue_2058	0.2031
pub_125359	dblp:inYear	year_32	0.3749
pub_6833	dblp:inYear	year_61	0.3372
pub_467259	dblp:hasAuthor	author_83312	0.1274
author_466089	dblp:wrote	pub_409	0.1275
author_598656	dblp:wrote	pub_402767	0.1325
pub_453127	dblp:hasAuthor	author_268758	0.1420
pub_338412	dblp:inYear	year_21	0.3787
pub_102388	dblp:inYear	year_15	0.2652
pub_460298	dblp:inYear	year_12	0.3090
author_596242	dblp:wrote	pub_207056	0.1797
pub_90493	dblp:hasAuthor	author_171363	0.1819
author_45124	dblp:wrote	pub_216747	0.1486
author_579803	dblp:wrote	pub_305849	0.1830
pub_269861	dblp:publishedIn	venue_810	0.2447
author_495259	dblp:wrote	pub_252459	0.1421
pub_351108	dblp:publishedIn	venue_289	0.2444
pub_248874	dblp:publishedIn	venue_2206	0.1834
pub_148803	dblp:publishedIn	venue_1207	0.2201
pub_295923	dblp:publishedIn	venue_1640	0.3201
author_329464	dblp:wrote	pub_360676	0.1716
pub_218404	dblp:publishedIn	venue_1434	0.2359
author_458250	dblp:wrote	pub_486177	0.1898
author_615929	dblp:wrote	pub_281362	0.1461
pub_31735	dblp:publishedIn	venue_2177	0.2090
pub_364561	dblp:inYear	year_48	0.3839
author_289743	dblp:wrote	pub_361762	0.1315
author_27425	dblp:wrote	pub_31412	0.1680
pub_299739	dblp:inYear	year_33	0.4297
pub_9418	dblp:publishedIn	venue_985	0.2584
author_123810	dblp:wrote	pub_365805	0.1105
pub_224921	dblp:publishedIn	venue_192	0.3045
author_626026	dblp:wrote	pub_331398	0.2014
pub_264566	dblp:hasAuthor	author_115852	0.1704
pub_118027	dblp:inYear	year_53	0.3231
pub_341695	dblp:inYear	year_38	0.3455
pub_346950	dblp:inYear	year_13	0.3500
pub_296000	dblp:hasAuthor	author_297904	0.1613
pub_97307	dblp:hasAuthor	author_367878	0.1252
author_193589	dblp:wrote	pub_224044	0.1465
author_579796	dblp:wrote	pub_312366	0.1368
author_34274	dblp:wrote	pub_428904	0.1288
pub_304051	dblp:inYear	year_45	0.3793
author_202969	dblp:wrote	pub_80023	0.1268
pub_403445	dblp:hasAuthor	author_179194	0.1379
pub_181385	dblp:hasAuthor	author_616530	0.1362
pub_192722	dblp:inYear	year_24	0.3102
pub_51922	dblp:inYear	year_39	0.3445
pub_390527	dblp:publishedIn	venue_2896	0.2136
pub_407008	dblp:hasAuthor	author_610926	0.1437
pub_345346	dblp:inYear	year_2	0.3850
pub_251989	dblp:inYear	year_16	0.2592
pub_485600	dblp:publishedIn	venue_489	0.2196
pub_144006	dblp:inYear	year_23	0.3571
pub_186831	dblp:inYear	year_49	0.3569
pub_121157	dblp:inYear	year_11	0.4052
pub_363704	dblp:publishedIn	venue_2409	0.2407
pub_2980	dblp:publishedIn	venue_995	0.2169
author_609823	dblp:wrote	pub_98914	0.1374
pub_449949	dblp:publishedIn	venue_528	0.3233
pub_162815	dblp:inYear	year_45	0.3540
pub_266344	dblp:publishedIn	venue_93	0.2464
pub_347100	dblp:publishedIn	venue_748	0.2004
pub_6649	dblp:publishedIn	venue_2695	0.2829
pub_288127	dblp:inYear	year_38	0.4401
pub_57347	dblp:publishedIn	venue_2135	0.2565
author_547075	dblp:wrote	pub_183965	0.1525
pub_284310	dblp:hasAuthor	author_260649	0.2207
author_636129	dblp:wrote	pub_248716	0.1504
pub_463161	dblp:inYear	year_8	0.2952
pub_420155	dblp:inYear	year_52	0.2926
author_247849	dblp:wrote	pub_221658	0.1333
pub_203836	dblp:hasAuthor	author_555375	0.1596
pub_175524	dblp:inYear	year_26	0.3999
author_122998	dblp:wrote	pub_307406	0.1465
pub_359305	dblp:inYear	year_40	0.3390
pub_486907	dblp:hasAuthor	author_293660	0.1464
pub_74159	dblp:hasAuthor	author_577277	0.1285
pub_427210	dblp:inYear	year_18	0.4108
pub_224075	dblp:inYear	year_46	0.3082
pub_427165	dblp:publishedIn	venue_27	0.2046
pub_7493	dblp:publishedIn	venue_1674	0.3033
author_500166	dblp:wrote	pub_150825	0.1923
pub_209047	dblp:publishedIn	venue_890	0.2083
pub_182847	dblp:hasAuthor	author_172203	0.1655
pub_46042	dblp:inYear	year_47	0.3811
pub_32882	dblp:inYear	year_40	0.3168
pub_37418	dblp:hasAuthor	author_57178	0.1378
pub_380587	dblp:publishedIn	venue_2017	0.1969
pub_301294	dblp:publishedIn	venue_1520	0.2527
pub_101426	dblp:hasAuthor	author_312195	0.1785
author_318572	dblp:wrote	pub_166166	0.1087
pub_279729	dblp:publishedIn	venue_393	0.2767
pub_437132	dblp:hasAuthor	author_342104	0.1358
pub_117604	dblp:hasAuthor	author_406338	0.1312
author_156669	dblp:wrote	pub_451369	0.1231
author_31765	dblp:wrote	pub_119292	0.1952
author_43052	dblp:wrote	pub_297432	0.1610
pub_62406	dblp:inYear	year_14	0.3385
pub_321123	dblp:publishedIn	venue_1772	0.3195
pub_72537	dblp:publishedIn	venue_998	0.3109
pub_43142	dblp:inYear	year_37	0.2741
pub_447312	dblp:publishedIn	venue_1910	0.2182
author_150204	dblp:wrote	pub_17142	0.1799
pub_403360	dblp:publishedIn	venue_1520	0.2220
pub_379356	dblp:publishedIn	venue_2618	0.2715
pub_468348	dblp:publishedIn	venue_2228	0.2999
pub_224920	dblp:publishedIn	venue_486	0.3055
pub_242890	dblp:hasAuthor	author_50686	0.1969
pub_110442	dblp:inYear	year_45	0.3626
author_182482	dblp:wrote	pub_296297	0.1406
author_261957	dblp:wrote	pub_205867	0.1853
pub_327091	dblp:inYear	year_12	0.2987
author_280665	dblp:wrote	pub_131241	0.1226
pub_419424	dblp:hasAuthor	author_578330	0.1996
author_69058	dblp:wrote	pub_101915	0.1337
pub_191706	dblp:hasAuthor	author_410588	0.1627
pub_38307	dblp:hasAuthor	author_387333	0.1541
pub_36600	dblp:inYear	year_8	0.3123
pub_32023	dblp:hasAuthor	author_97644	0.1666
author_477982	dblp:wrote	pub_264305	0.1263
pub_391808	dblp:inYear	year_32	0.2804
author_21078	dblp:wrote	pub_17417	0.1662
pub_333338	dblp:hasAuthor	author_562347	0.1998
pub_444991	dblp:inYear	year_21	0.2630
pub_432863	dblp:inYear	year_55	0.3604
pub_292651	dblp:publishedIn	venue_737	0.2215
pub_94667	dblp:hasAuthor	author_99077	0.1527
pub_239940	dblp:hasAuthor	author_432381	0.1381
pub_460396	dblp:inYear	year_28	0.3680
pub_468182	dblp:hasAuthor	author_195088	0.1306
author_265825	dblp:wrote	pub_136419	0.1460
author_508	dblp:wrote	pub_14683	0.1439
pub_401933	dblp:hasAuthor	author_45941	0.1349
author_258639	dblp:wrote	pub_369435	0.2297
pub_67690	dblp:hasAuthor	author_277547	0.1343
pub_310010	dblp:hasAuthor	author_625477	0.2040
author_436242	dblp:wrote	pub_328469	0.1794
author_46152	dblp:wrote	pub_427612	0.1916
pub_54915	dblp:publishedIn	venue_56	0.1590
pub_95296	dblp:hasAuthor	author_298101	0.2350
pub_242834	dblp:inYear	year_47	0.3748
pub_467579	dblp:publishedIn	venue_2203	0.2567
pub_312746	dblp:hasAuthor	author_408017	0.1724
pub_53577	dblp:hasAuthor	author_470497	0.1532
pub_174033	dblp:hasAuthor	author_355049	0.2051
pub_378063	dblp:hasAuthor	author_366373	0.1561
pub_311831	dblp:inYear	year_10	0.3429
author_444034	dblp:wrote	pub_129635	0.1493
pub_153939	dblp:hasAuthor	author_441457	0.1661
pub_50719	dblp:publishedIn	venue_1819	0.2433
pub_147705	dblp:hasAuthor	author_553330	0.1300
pub_453031	dblp:publishedIn	venue_445	0.2277
pub_324906	dblp:hasAuthor	author_69758	0.1023
pub_412534	dblp:publishedIn	venue_1581	0.2825
pub_171184	dblp:publishedIn	venue_2666	0.2473
pub_419842	dblp:hasAuthor	author_384878	0.1849
pub_307871	dblp:inYear	year_18	0.3789
author_621171	dblp:wrote	pub_289181	0.1321
pub_444388	dblp:inYear	year_13	0.2957
pub_73978	dblp:inYear	year_34	0.3443
pub_485159	dblp:publishedIn	venue_375	0.2598
pub_94873	dblp:hasAuthor	author_190259	0.1469
pub_68471	dblp:inYear	year_52	0.3872
pub_152990	dblp:publishedIn	venue_2147	0.2552
pub_459481	dblp:inYear	year_4	0.3391
pub_23947	dblp:hasAuthor	author_145668	0.1310
pub_402191	dblp:hasAuthor	author_538502	0.1635
pub_475947	dblp:hasAuthor	author_4487	0.2184
pub_4130	dblp:inYear	year_49	0.3406
author_252207	dblp:wrote	pub_150953	0.1843
pub_122679	dblp:publishedIn	venue_167	0.2230
author_379949	dblp:wrote	pub_488105	0.1475
pub_422690	dblp:hasAuthor	author_133857	0.1862
author_188001	dblp:wrote	pub_359635	0.1586
pub_191225	dblp:hasAuthor	author_290147	0.1447
pub_99029	dblp:publishedIn	venue_1954	0.2209
pub_114070	dblp:hasAuthor	author_298137	0.1177
pub_310583	dblp:hasAuthor	author_133849	0.1562
author_412341	dblp:wrote	pub_479200	0.1806
pub_152809	dblp:publishedIn	venue_2485	0.3024
pub_96000	dblp:publishedIn	venue_2203	0.2111
pub_36811	dblp:publishedIn	venue_382	0.3618
author_77489	dblp:wrote	pub_167915	0.1391
pub_121597	dblp:hasAuthor	author_516249	0.1858
pub_105764	dblp:inYear	year_4	0.2848
pub_408147	dblp:hasAuthor	author_20941	0.2135
pub_119423	dblp:hasAuthor	author_298261	0.1595
pub_458505	dblp:inYear	year_33	0.3170
pub_123236	dblp:publishedIn	venue_2175	0.2159
pub_130969	dblp:publishedIn	venue_2193	0.2030
pub_317881	dblp:publishedIn	venue_380	0.2067
pub_87444	dblp:publishedIn	venue_346	0.3403
pub_301859	dblp:inYear	year_1	0.3222
author_67378	dblp:wrote	pub_418444	0.1337
author_36308	dblp:wrote	pub_183707	0.1546
pub_279399	dblp:inYear	year_12	0.2932
pub_369258	dblp:publishedIn	venue_1598	0.2620
pub_136125	dblp:inYear	year_35	0.4005
author_277648	dblp:wrote	pub_65577	0.1259
pub_163147	dblp:publishedIn	venue_708	0.2224
author_375058	dblp:wrote	pub_26989	0.1566
pub_359497	dblp:inYear	year_14	0.3032
author_505640	dblp:wrote	pub_183881	0.1338
pub_215482	dblp:inYear	year_14	0.2979
author_551846	dblp:wrote	pub_418677	0.1503
pub_401175	dblp:hasAuthor	author_480298	0.1958
pub_466080	dblp:publishedIn	venue_933	0.3039
pub_47494	dblp:publishedIn	venue_1446	0.2529
author_256635	dblp:wrote	pub_176280	0.1783
pub_76339	dblp:hasAuthor	author_611869	0.2159
pub_315012	dblp:hasAuthor	author_571750	0.1831
pub_242390	dblp:publishedIn	venue_1283	0.2023
author_526417	dblp:wrote	pub_113838	0.1502
pub_362078	dblp:hasAuthor	author_365968	0.0983
pub_285002	dblp:inYear	year_32	0.3615
author_531459	dblp:wrote	pub_136407	0.1473
pub_219361	dblp:inYear	year_58	0.3673
pub_159964	dblp:hasAuthor	author_56881	0.1421
pub_407181	dblp:publishedIn	venue_1189	0.1743
pub_313971	dblp:hasAuthor	author_596352	0.1549
pub_477678	dblp:inYear	year_16	0.2743
pub_54594	dblp:publishedIn	venue_2943	0.2328
pub_474240	dblp:inYear	year_26	0.3932
pub_300163	dblp:hasAuthor	author_98010	0.1491
pub_17761	dblp:inYear	year_7	0.2614
pub_98468	dblp:publishedIn	venue_1296	0.2200
pub_215446	dblp:hasAuthor	author_233031	0.1151
pub_163343	dblp:hasAuthor	author_411870	0.1437
pub_490834	dblp:hasAuthor	author_53444	0.1827
pub_489577	dblp:inYear	year_42	0.3600
pub_63184	dblp:publishedIn	venue_24	0.2751
pub_355841	dblp:inYear	year_24	0.3696
pub_408967	dblp:hasAuthor	author_94807	0.1717
pub_28354	dblp:publishedIn	venue_453	0.2405
pub_405732	dblp:inYear	year_33	0.2997
pub_262322	dblp:inYear	year_26	0.3315
pub_271932	dblp:hasAuthor	author_136893	0.1288
author_120711	dblp:wrote	pub_436053	0.1412
pub_326704	dblp:publishedIn	venue_352	0.2334
pub_297616	dblp:hasAuthor	author_298379	0.1257
pub_148012	dblp:hasAuthor	author_368396	0.1239
pub_472538	dblp:hasAuthor	author_74112	0.1210
author_3438	dblp:wrote	pub_283634	0.1432
pub_322541	dblp:hasAuthor	author_29326	0.2021
author_397208	dblp:wrote	pub_15104	0.1300
pub_191112	dblp:inYear	year_16	0.3468
pub_190792	dblp:publishedIn	venue_247	0.2703
author_154127	dblp:wrote	pub_467428	0.1589
pub_480626	dblp:publishedIn	venue_1433	0.2211
pub_120943	dblp:hasAuthor	author_423496	0.1271
author_211259	dblp:wrote	pub_47744	0.1652
pub_224299	dblp:hasAuthor	author_294584	0.1602
pub_364638	dblp:inYear	year_3	0.2923
pub_386096	dblp:hasAuthor	author_199697	0.2027
pub_386857	dblp:publishedIn	venue_639	0.2503
pub_489353	dblp:hasAuthor	author_257025	0.1210
author_242310	dblp:wrote	pub_415526	0.1310
pub_390176	dblp:inYear	year_17	0.3237
pub_271670	dblp:hasAuthor	author_227117	0.1413
pub_78331	dblp:publishedIn	venue_228	0.2143
pub_275178	dblp:inYear	year_9	0.2878
pub_182249	dblp:inYear	year_52	0.3371
pub_249023	dblp:publishedIn	venue_626	0.1955
pub_375891	dblp:publishedIn	venue_393	0.2377
pub_325232	dblp:hasAuthor	author_164131	0.1256
pub_412350	dblp:hasAuthor	author_385744	0.1956
pub_430023	dblp:publishedIn	venue_134	0.2991
author_267497	dblp:wrote	pub_461028	0.1547
pub_334165	dblp:inYear	year_1	0.3100
author_614410	dblp:wrote	pub_435046	0.2406
author_449558	dblp:wrote	pub_36762	0.1618
pub_218226	dblp:inYear	year_51	0.3533
pub_292519	dblp:hasAuthor	author_44605	0.1357
pub_350073	dblp:inYear	year_16	0.3353
author_605828	dblp:wrote	pub_250262	0.1318
pub_471395	dblp:inYear	year_42	0.2605
pub_204274	dblp:inYear	year_30	0.3238
pub_258104	dblp:inYear	year_17	0.2736
pub_82587	dblp:inYear	year_30	0.3419
pub_67934	dblp:inYear	year_26	0.3450
pub_138823	dblp:inYear	year_30	0.3227
pub_370994	dblp:publishedIn	venue_2460	0.2487
author_176208	dblp:wrote	pub_143302	0.1620
pub_464287	dblp:hasAuthor	author_218604	0.1725
pub_171254	dblp:hasAuthor	author_480211	0.2027
pub_1324	dblp:hasAuthor	author_69133	0.1643
author_224992	dblp:wrote	pub_176739	0.1622
pub_122141	dblp:publishedIn	venue_362	0.2636
pub_109785	dblp:publishedIn	venue_393	0.2484
pub_197701	dblp:hasAuthor	author_169033	0.1298
pub_294676	dblp:hasAuthor	author_639184	0.1286
pub_271868	dblp:inYear	year_21	0.3361
pub_337673	dblp:inYear	year_29	0.3777
pub_393142	dblp:publishedIn	venue_636	0.2988
author_451785	dblp:wrote	pub_89085	0.1590
pub_143355	dblp:hasAuthor	author_320615	0.1994
pub_876	dblp:hasAuthor	author_236984	0.1366
author_472633	dblp:wrote	pub_236310	0.1644
author_209046	dblp:wrote	pub_13877	0.1358
author_84447	dblp:wrote	pub_375513	0.1560
pub_134690	dblp:hasAuthor	author_205991	0.1190
pub_68075	dblp:publishedIn	venue_2498	0.1907
pub_272523	dblp:publishedIn	venue_393	0.2179
author_348299	dblp:wrote	pub_251321	0.1936
author_72184	dblp:wrote	pub_58274	0.1378
pub_330109	dblp:inYear	year_19	0.3552
pub_25812	dblp:inYear	year_15	0.3128
pub_120561	dblp:publishedIn	venue_1595	0.3276
pub_357897	dblp:inYear	year_8	0.3193
author_105271	dblp:wrote	pub_431617	0.1423
pub_53856	dblp:publishedIn	venue_2981	0.2297
pub_479526	dblp:inYear	year_17	0.3252
pub_186308	dblp:publishedIn	venue_688	0.2122
author_259767	dblp:wrote	pub_335449	0.1300
pub_235074	dblp:publishedIn	venue_393	0.2532
pub_431226	dblp:hasAuthor	author_575232	0.1314
pub_49470	dblp:hasAuthor	author_348125	0.1404
pub_117377	dblp:publishedIn	venue_1094	0.2260
author_450927	dblp:wrote	pub_486546	0.1668
pub_441732	dblp:inYear	year_56	0.2676
author_145135	dblp:wrote	pub_472099	0.1069
author_633372	dblp:wrote	pub_266752	0.1254
pub_168289	dblp:publishedIn	venue_1819	0.2643
pub_30452	dblp:publishedIn	venue_809	0.2824
pub_126364	dblp:publishedIn	venue_2383	0.2524
pub_447868	dblp:hasAuthor	author_443235	0.1980
pub_261062	dblp:inYear	year_60	0.3289
pub_300651	dblp:inYear	year_28	0.2769
author_502704	dblp:wrote	pub_125449	0.1637
author_211046	dblp:wrote	pub_436391	0.1399
pub_155675	dblp:hasAuthor	author_558139	0.1624
pub_393034	dblp:publishedIn	venue_259	0.2038
pub_225286	dblp:inYear	year_10	0.3454
pub_415916	dblp:inYear	year_26	0.3228
pub_433745	dblp:publishedIn	venue_378	0.1809
pub_256548	dblp:hasAuthor	author_304864	0.1851
pub_382339	dblp:publishedIn	venue_1516	0.2503
pub_441913	dblp:publishedIn	venue_2652	0.3147
author_41249	dblp:wrote	pub_84203	0.1363
author_242137	dblp:wrote	pub_196306	0.1344
author_18125	dblp:wrote	pub_431014	0.1662
pub_334324	dblp:inYear	year_39	0.2772
pub_67934	dblp:hasAuthor	author_74689	0.1273
author_53546	dblp:wrote	pub_364566	0.2012
pub_99692	dblp:publishedIn	venue_2779	0.2747
pub_179521	dblp:inYear	year_14	0.2930
pub_283358	dblp:inYear	year_48	0.2757
pub_155927	dblp:inYear	year_32	0.4299
author_408277	dblp:wrote	pub_464368	0.1724
pub_96082	dblp:publishedIn	venue_2465	0.2535
author_76732	dblp:wrote	pub_60493	0.1355
pub_38982	dblp:inYear	year_34	0.3223
pub_115926	dblp:hasAuthor	author_19195	0.1460
pub_239283	dblp:publishedIn	venue_994	0.1911
